Operation #,Agency Number,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency,Infant,Toddler,Preschool,School
"1255586","","123-ABC Learning Center","5418 BAKERSFIELD ST ","SAN ANTONIO","TX","78228","BEXAR",210-432-4895,"Licensed Child-Care Home","Full Permit",6/22/2011,12,"lorena123abc@aol.com","793708","","Y","Y","Y","Y"
"848555","","2 Grannys House Infant Care Center","1121 URBAN DR ","DESOTO","TX","75115","DALLAS",972-274-2787,"Licensed Child-Care Home","Full Permit",11/3/2005,12,"gwendolyn_Perryman@yahoo.com","270909","","Y","Y","Y","Y"
"1087046","","A Bright Beginning","4872 FM 3455 RD ","NAVASOTA","TX","77868","BRAZOS",936-825-2029,"Licensed Child-Care Home","Full Permit",7/13/2010,12,"sandykg59@yahoo.com","585828","","Y","Y","Y","Y"
"1271176","","A Bright Beginning CCH","926 MORNINGSIDE RD ","BROWNSVILLE","TX","78521","CAMERON",956-982-4340,"Licensed Child-Care Home","Full Permit",2/9/2012,12,"","812545","","Y","Y","Y","Y"
"1573316","","A Child's Discovery","832 S HIGHWAY 83 ","UVALDE","TX","78801","UVALDE",830-279-1443,"Licensed Child-Care Home","Full Permit",12/31/2015,12,"","1186939","","Y","Y","Y","Y"
"1276786","","A Childs Choice","4760 AUSTIN CIR ","SANGER","TX","76266","DENTON",940-482-6829,"Licensed Child-Care Home","Full Permit",7/29/2011,12,"michellenye11@yahoo.com","819268","","Y","Y","Y","Y"
"906894","","A Childs Pointe Day Care","17711 DECEMBER PINE LN ","SPRING","TX","77379","HARRIS",832-717-6368,"Licensed Child-Care Home","Full Permit",3/24/2009,12,"donna24.7@att.net","368151","","Y","Y","Y","Y"
"1596376","","A Happy Home Child Care, LLC","2142 CINCINNATI AVE ","SAN ANTONIO","TX","78228","BEXAR",210-736-4277,"Licensed Child-Care Home","Full Permit",3/29/2016,12,"sonia@happyhmsa.com","1212138","","N","Y","Y","Y"
"1606616","","A MAGIC DAY","544 PERCH MDW ","SAN ANTONIO","TX","78253","BEXAR",210-744-9283,"Licensed Child-Care Home","Full Permit",1/19/2017,12,"","1222118","","Y","Y","Y","Y"
"1533025","","A Mothers Touch","1204 CHELSEA CT ","MESQUITE","TX","75149","DALLAS",469-766-8499,"Licensed Child-Care Home","Full Permit",3/5/2014,12,"Amotherstouch37@hotmail.com","1135212","","Y","Y","Y","Y"
"1553982","","A New Adventure","1111 GARDENIA DR ","NEW BRAUNFELS","TX","78130","COMAL",830-444-8636,"Licensed Child-Care Home","Full Permit",6/5/2015,12,"","1163857","","N","Y","Y","Y"
"1600916","","A New Beginning Childcare","10910 ALSETH CIR ","HOUSTON","TX","77086","HARRIS",832-446-3777,"Licensed Child-Care Home","Full Permit",3/16/2016,12,"","1216580","","Y","Y","Y","Y"
"1570220","","A Place Like Home","421 PETER ST ","ALICE","TX","78332","JIM WELLS",361-396-4584,"Licensed Child-Care Home","Full Permit",11/19/2015,12,"","1183896","","Y","Y","Y","Y"
"1332546","","A Ray of Sunshine","2317 EISENHOWER RD ","ODESSA","TX","79761","ECTOR",432-349-1516,"Licensed Child-Care Home","Full Permit",12/5/2011,12,"","889668","","Y","Y","Y","Y"
"1630196","","A Touch from Heaven","13534 ELDRIDGE VILLA ST ","SUGAR LAND","TX","77498","FORT BEND",832-892-9127,"Licensed Child-Care Home","Full Permit",2/3/2017,12,"","1250483","","N","Y","Y","Y"
"1533309","","A+ ACCREDITED LEARNING CENTER","5023 IVANHOE ST ","SAN ANTONIO","TX","78228","BEXAR",210-689-5224,"Licensed Child-Care Home","Full Permit",8/21/2014,12,"ygonzales050@outlook.com","1135676","","Y","Y","Y","Y"
"545011","","ABC 123 Child Care Learning CTR","612 14TH AVE N ","TEXAS CITY","TX","77590","GALVESTON",409-945-2233,"Licensed Child-Care Home","Full Permit",3/2/2000,12,"","162298","","Y","Y","Y","Y"
"514034","","ABC Group Day Care","855 N CALDWELL ST ","GIDDINGS","TX","78942","LEE",979-542-3630,"Licensed Child-Care Home","Full Permit",11/1/1995,12,"chachazales@aol.com","140143","","Y","Y","Y","Y"
"1602517","","ABC Lighthouse Childcare, LLC","19507 LIGHTHOUSE SCENE LN ","CYPRESS","TX","77433","HARRIS",832-271-7522,"Licensed Child-Care Home","Full Permit",5/4/2016,12,"the.abc.lighthouse@gmail.com","1218124","","Y","Y","Y","Y"
"892026","","ABC's & 123's Corner Playhouse","SW CORNER 3RD & MATEO ESCOBAR ","MONTE ALTO","TX","78538","HIDALGO",956-262-9031,"Licensed Child-Care Home","Full Permit",4/2/2008,12,"elsamariedominguez@yahoo.com","349413","","Y","Y","Y","Y"
"859413","","Abrahams Seed Day Care","3652 KRISTA ILEE PL ","EL PASO","TX","79938","EL PASO",915-921-1262,"Licensed Child-Care Home","Full Permit",10/30/2006,12,"abrahamseeddc@hotmail.com","293085","","Y","Y","Y","Y"
"1452126","","Abundant Love Child Care","16102 DAWN MARIE LN ","SUGAR LAND","TX","77498","FORT BEND",832-755-9958,"Licensed Child-Care Home","Full Permit",1/10/2013,12,"","1032868","","Y","Y","Y","Y"
"1541409","","Academy of Learners","7428 SPRING LEA WAY ","NORTH RICHLAND HILLS","TX","76182","TARRANT",817-320-9331,"Licensed Child-Care Home","Full Permit",12/10/2014,12,"leslie@academyoflearners.com","1147704","","Y","Y","Y","Y"
"1523272","","Achievers Academy","1014 LARKS TRACE LN ","HOUSTON","TX","77090","HARRIS",281-866-0594,"Licensed Child-Care Home","Full Permit",3/10/2014,12,"","1121959","","Y","Y","Y","Y"
"898528","","Adeliz's Daycare","6412 KIOWA CT ","EL PASO","TX","79925","EL PASO",915-779-8206,"Licensed Child-Care Home","Full Permit",1/6/2009,12,"","359090","","Y","Y","Y","Y"
"1505876","","Adriana Perez","6922 PUERTA VISTA LN ","HOUSTON","TX","77083","HARRIS",832-713-0763,"Licensed Child-Care Home","Full Permit",7/31/2013,12,"Adrianaperez41609@hotmail.com","1100607","","Y","Y","Y","Y"
"1556491","","Aladdin Daycare III","3132 LOOKOUT POINT PL ","EL PASO","TX","79938","EL PASO",915-317-5178,"Licensed Child-Care Home","Full Permit",6/12/2015,12,"","1167036","","Y","Y","Y","Y"
"828358","","Alejandra's Day Care","1605 WOODSTONE CT ","LAREDO","TX","78045","WEBB",956-726-9133,"Licensed Child-Care Home","Full Permit",5/15/2003,12,"fvalenzuela633@sbcglobal.net","226818","","Y","Y","Y","Y"
"1547509","","Alejandra's Home Day Care","8036 CARPENTER DR ","EL PASO","TX","79915","EL PASO",915-594-7251,"Licensed Child-Care Home","Full Permit",4/2/2015,12,"","1155667","","Y","Y","Y","Y"
"810608","","All Kid's Day Care","26604 FM 803 ","SAN BENITO","TX","78586","CAMERON",956-748-2423,"Licensed Child-Care Home","Full Permit",4/22/2002,12,"","192317","","Y","Y","Y","Y"
"1627468","","All My Children Academy","9160 ABACO WAY ","FORT WORTH","TX","76123","TARRANT",817-845-8130,"Licensed Child-Care Home","Initial",9/13/2016,12,"","1246798","","Y","Y","Y","Y"
"1502214","","All My Children Day Care","2926 GRAND AVE ","LIBERTY","TX","77575","LIBERTY",936-391-2152,"Licensed Child-Care Home","Full Permit",7/1/2013,12,"","1096572","","Y","Y","Y","Y"
"405149","","All of Gods Children","3348 8TH ST ","PORT ARTHUR","TX","77642","JEFFERSON",409-982-2024,"Licensed Child-Care Home","Full Permit",7/16/1996,12,"","118956","","Y","Y","Y","Y"
"812426","","All-Stars R Us","4707 27TH ST ","LUBBOCK","TX","79410","LUBBOCK",806-791-4691,"Licensed Child-Care Home","Full Permit",5/7/2002,12,"","196701","","Y","Y","Y","Y"
"860555","","Alma's Day Care","2909 AZTECA AVE ","MCALLEN","TX","78503","HIDALGO",956-664-2934,"Licensed Child-Care Home","Full Permit",2/27/2007,12,"","295386","","Y","Y","Y","Y"
"1513206","","Almitas Daycare","13831 WOODFOREST BLVD ","HOUSTON","TX","77015","HARRIS",832-434-9995,"Licensed Child-Care Home","Full Permit",9/23/2013,12,"","1109311","","Y","Y","Y","Y"
"536162","","Alpha Time Child Care","5514 NUECES BAY DR ","ROWLETT","TX","75089","DALLAS",972-412-7969,"Licensed Child-Care Home","Full Permit",8/30/2000,12,"alphatimecc@gmail.com","155361","","Y","Y","Y","Y"
"831376","","Alphabet Soup Child Care","3424 MOREHEAD AVE ","EL PASO","TX","79930","EL PASO",915-301-1465,"Licensed Child-Care Home","Full Permit",8/12/2003,12,"","233160","","Y","Y","Y","Y"
"824143","","Alvarado Day Care","7414 KINGMAN DR ","EL PASO","TX","79915","EL PASO",915-598-7074,"Licensed Child-Care Home","Full Permit",8/13/2003,12,"","218709","","Y","Y","Y","Y"
"522644","","American Day Care","2108 SOLANO DR ","EL PASO","TX","79935","EL PASO",915-592-6387,"Licensed Child-Care Home","Full Permit",12/19/1996,12,"","146536","","Y","Y","Y","Y"
"867028","","Aminta Martinez Group Home","307 W OSCAR GONZALEZ ","ELSA","TX","78543","HIDALGO",956-262-2026,"Licensed Child-Care Home","Full Permit",6/6/2007,12,"amintamartinezdaycare@gmail.com","307182","","Y","Y","Y","Y"
"1508676","","Amoxcaly Little House for Learning:  Casita Para Aprender","2820 GRAYSON AVE ","MCALLEN","TX","78504","HIDALGO",956-627-1255,"Licensed Child-Care Home","Full Permit",9/23/2013,12,"aleticiaaltamirano@hotmail.com","1104017","","Y","Y","Y","Y"
"819778","","Ana Briseno Childcare","5201 BONHAM ST ","CORPUS CHRISTI","TX","78415","NUECES",361-249-6763,"Licensed Child-Care Home","Full Permit",2/6/2003,12,"abchildcare7@gmail.com","210827","","Y","Y","Y","Y"
"1352046","","Ana's Little Angels Child Care","7905 FOREST HILLS CT ","NORTH RICHLAND HILLS","TX","76182","TARRANT",254-702-3298,"Licensed Child-Care Home","Full Permit",7/22/2011,12,"","913788","","Y","Y","Y","Y"
"207448","","Angel Learning Center","1105 W BROADWAY ST ","CLARKSVILLE","TX","75426","RED RIVER",903-427-2949,"Licensed Child-Care Home","Full Permit",8/24/1987,12,"","101036","","Y","Y","Y","Y"
"1094186","","Angel Watch Daycare","5503 W HARROW DR ","HOUSTON","TX","77084","HARRIS",713-423-4137,"Licensed Child-Care Home","Full Permit",8/26/2010,12,"","594548","","Y","Y","Y","Y"
"1599657","","Angel's Playhouse Family Daycare","7815 ARABIAN CRK ","SAN ANTONIO","TX","78244","BEXAR",210-538-8466,"Licensed Child-Care Home","Full Permit",12/20/2016,12,"","1215278","","Y","Y","Y","Y"
"945486","","Angel's Watching Over Me Child Care","3625 CANDLEKNOLL CIR ","SAN ANTONIO","TX","78244","BEXAR",210-661-8064,"Licensed Child-Care Home","Full Permit",11/23/2009,12,"noeliasangelswatchingoverme@yahoo.com","416028","","Y","Y","Y","Y"
"539899","","Angels Among Us","1120 ROY RD ","KAUFMAN","TX","75142","KAUFMAN",214-499-2997,"Licensed Child-Care Home","Full Permit",4/16/1999,12,"","158242","","Y","Y","Y","Y"
"1257507","","Angels From Heaven Childcare","4407 MEADOWBROOK DR ","FORT WORTH","TX","76103","TARRANT",817-531-2127,"Licensed Child-Care Home","Full Permit",7/5/2011,12,"","796090","","Y","Y","Y","Y"
"544651","","Angie Hall","1628 N 5TH ","TAHOKA","TX","79373","LYNN",806-561-5383,"Licensed Child-Care Home","Full Permit",3/22/2000,12,"","162038","","Y","Y","Y","Y"
"855914","","Anitas Child Care Home","2031 ASH HILL RD ","CARROLLTON","TX","75007","DENTON",972-394-3516,"Licensed Child-Care Home","Full Permit",6/14/2006,12,"anitaschildcare@hotmail.com","286514","","Y","Y","Y","Y"
"868441","","Anna's Childcare","305 MCALLEN ST ","DONNA","TX","78537","HIDALGO",956-464-0174,"Licensed Child-Care Home","Full Permit",7/20/2007,12,"annaschildcare@yahoo.com","309536","","Y","Y","Y","Y"
"1366186","","Aprils Little Lambs License Child Care Home","852 WILLOW WOOD DR ","CEDAR HILL","TX","75104","DALLAS",972-291-4936,"Licensed Child-Care Home","Full Permit",3/22/2012,12,"","929951","","Y","Y","Y","Y"
"1529081","","Araceli Adame Licensed Home","3508 N 38TH ST ","MCALLEN","TX","78501","HIDALGO",956-495-6114,"Licensed Child-Care Home","Full Permit",7/3/2014,12,"pattim2000@hotmail.com","1129915","","Y","Y","Y","Y"
"1540187","","Arise & Shine Childcare","2705 TRADEWINDS DR ","LITTLE ELM","TX","75068","DENTON",469-803-5407,"Licensed Child-Care Home","Full Permit",11/3/2014,12,"jitos2001us@yahoo.com","1145828","","Y","Y","Y","Y"
"542966","","Arleen's Preschool","1103 KING AVE ","SAN ANTONIO","TX","78211","BEXAR",210-921-0369,"Licensed Child-Care Home","Full Permit",10/20/1999,12,"childcare1994@aol.com","160725","","Y","Y","Y","Y"
"1497154","","Arlene's Place of Care","5498 WINDSOR ","LONE OAK","TX","75453","HUNT",903-662-0950,"Licensed Child-Care Home","Full Permit",9/20/2012,12,"arlenesplaceofcare@yahoo.com","1090410","","Y","Y","Y","Y"
"955246","","Ashley Ami Daycare","6039 DRENNER PARK LN ","HOUSTON","TX","77086","HARRIS",281-447-8331,"Licensed Child-Care Home","Full Permit",10/1/2009,12,"shirleymyres@yahoo.com","428928","","Y","Y","Y","Y"
"832841","","Aunt Missys Day Care","5 CARSON ST ","BORGER","TX","79007","HUTCHINSON",806-274-3541,"Licensed Child-Care Home","Full Permit",10/8/2003,12,"","236193","","Y","Y","Y","Y"
"1103646","","Aunt Ruthies Childcare","1514 KEMP BLVD ","WICHITA FALLS","TX","76309","WICHITA",940-761-4128,"Licensed Child-Care Home","Full Permit",7/21/2010,12,"","606308","","Y","Y","Y","Y"
"250255","","Aurora's Day Care","3201 ARAGUZ ST ","HARLINGEN","TX","78552","CAMERON",956-412-8110,"Licensed Child-Care Home","Full Permit",6/22/1993,12,"","108969","","Y","Y","Y","Y"
"1582501","","Austin Thrive Preschool","915 MARYLAND DR ","AUSTIN","TX","78758","TRAVIS",325-518-1197,"Licensed Child-Care Home","Full Permit",6/24/2016,12,"","1196088","","Y","Y","Y","Y"
