"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"Freeport Head Start School","28.948214","-95.364149","Child Development Council of Brazoria County
651 West Miller Street
Angleton, TX 77515-5522
(979)849-1881 - 101
","06CH7143","200","Early Head Start","Early Head Start","Child Development Council of Brazoria County","","651 West Miller Street ","Angleton","TX","77515-5522","(979) 233-5673","1216 W 9th St","Freeport","TX","77541-5336","44620"
"Tiny Tots CDC","27.530206","-97.86520100000001","Community Action Corporation of South Texas
204 East 1st Street
P.O. Drawer 1820
Alice, TX 78333-1820
(361)664-0145 - 2025
","06CH010327","200","Early Head Start","Early Head Start","Community Action Corporation of South Texas","","204 East 1st Street P.O. Drawer 1820","Alice","TX","78333-1820","(361) 595-7841","323 E Corral Ave","Kingsville","TX","78363-3208","82400"
"Crockett Early Head Start","32.434934","-99.76287300000001","Abilene Independent School District
241 Pine St
Attention: Federal Programs- Early Head Start
Abilene, TX 79601-5911
(325)690-3770 - 7539
","06CH7058","200","Early Head Start","Early Head Start","Abilene Independent School District","","241 Pine St Attention: Federal Programs- Early Head Start","Abilene","TX","79601-5911","(325) 690-3770","3282 S 13th St","Abilene","TX","79605-4034","30796"
"ChildCare Network #171","32.646082","-96.9262329","CHILDCAREGROUP
1420 W MOCKINGBIRD LANE
SUITE 300
DALLAS, TX 75247-4973
(214)630-7911
","06HP0007","200","Early Head Start","Early Head Start","CHILDCAREGROUP","","1420 W MOCKINGBIRD LANE SUITE 300","DALLAS","TX","75247-4973","(972) 298-0252","703 S Cedar Ridge Dr","Duncanville","TX","75137-2203","55178"
"Annaville Early Head Start","27.8413697","-97.59705869999999","NUECES COUNTY COMMUNITY ACTION AGENCY
101 South Padre Island Drive
Corpus Christi, TX 78405-4102
(361)883-7201
","06CH7090","200","Early Head Start","Early Head Start","NUECES COUNTY COMMUNITY ACTION AGENCY","","101 South Padre Island Drive ","Corpus Christi","TX","78405-4102","(361) 241-2001","3901 Cliff Crenshaw St","Corpus Christi","TX","78410-3114","34733"
"Wee Can Academy Pleasant Grove","32.7318427","-96.6490554","SER-Jobs for Progress National, Inc.
100 E Royal Lane, Suite 130
Irving, TX 75039-4219
(469)549-3638
","06HP0026","200","Early Head Start","Early Head Start","SER-Jobs for Progress National, Inc.","","100 E Royal Lane, Suite 130 ","Irving","TX","75039-4219","(469) 235-0917","1227 N Masters Dr","Dallas","TX","75217-3722","86866"
"Santa Rosa Head Start/Early Head Start","26.25674","-97.82499630000001","NEIGHBORS IN NEED OF SERVICES, INC
402 West Robertson
San Benito, TX 78586-0047
(956)399-9944 - 305
","06CH7170","200","Early Head Start","Early Head Start","NEIGHBORS IN NEED OF SERVICES, INC","","402 West Robertson ","San Benito","TX","78586-0047","(956) 636-1711","PO Box 36
North Hwy.107","Santa Rosa","TX","78593-0036","53882"
"West Hutchins Early Learning Center","29.3456399","-98.52662220000002","PARENT & CHILD INC.
1223 Brady Blvd
San Antonio, TX 78207-7926
(210)475-5006
","06CH7178","200","Early Head Start","Early Head Start","PARENT & CHILD INC.","","1223 Brady Blvd ","San Antonio","TX","78207-7926","","1405 W Hutchins Pl","San Antonio","TX","78221-2524","52835"
"Florence Head Start","30.84497936996508","-97.79235726560671","OPPORTUNITIES FOR WILLIAMSON AND BURNET COUNTIES
604 High Tech Drive
Georgetown, TX 78626-
(512)763-1400 - 37
","06CH7173","200","Early Head Start","Early Head Start","OPPORTUNITIES FOR WILLIAMSON AND BURNET COUNTIES","","604 High Tech Drive ","Georgetown","TX","78626","(1) 254-793","203 Adams St","Florence","TX","76527-4192","82948"
"Center for Transforming Lives Arlington Child Development Center","32.7338371","-97.122859","Center for Transforming Lives
512 W 4th St
Fort Worth, TX 76102-3613
(817)332-6191
","06HP0025","200","Early Head Start","Early Head Start","Center for Transforming Lives","","512 W 4th St ","Fort Worth","TX","76102-3613","(817) 262-5910","1120 Uta Blvd","Arlington","TX","76013-6985","54539"
"Little Explorers Child Care Center 1","26.1337947","-98.2150697","The University of Texas - Rio Grande Valley
1201 W University Dr
Edcc 2.504
Edinburg, TX 78539-2909
(956)665-3891
","06HP0020","200","Early Head Start","Early Head Start","The University of Texas - Rio Grande Valley","","1201 W University Dr Edcc 2.504","Edinburg","TX","78539-2909","(956) 992-9530","2807 S Jackson Rd","Pharr","TX","78577-4491","85504"
"Center for New Communities Family Learning Center at San Antonio College","29.44890266599615","-98.49600699283752","Center for New Communities
1313 Guadalupe St
Ste 200
San Antonio, TX 78207-5555
(210)314-3200
","06CH7186","200","Early Head Start","Early Head Start","Center for New Communities","","1313 Guadalupe St Ste 200","San Antonio","TX","78207-5555","(210) 314-3200","1300 San Pedro Ave
Bldg 12","San Antonio","TX","78212-4201","52373"
"Borger Buttercup","35.6715485","-101.37815490000003","REGION 16 EDUCATION SERVICE CENTER
5800 Bell St
Amarillo, TX 79109-6230
(806)677-5300
","06CH10104","200","Early Head Start","Early Head Start","REGION 16 EDUCATION SERVICE CENTER","","5800 Bell St ","Amarillo","TX","79109-6230","(806) 274-4996","1106 E 6th St","Borger","TX","79007-4314","57346"
"Evelyn L. King Early Learning Center","29.4183188","-98.34544389999996","PARENT & CHILD INC.
1223 Brady Blvd
San Antonio, TX 78207-7926
(210)475-5006
","06CH7178","200","Early Head Start","Early Head Start","PARENT & CHILD INC.","","1223 Brady Blvd ","San Antonio","TX","78207-7926","","101 Daniel Rd","San Antonio","TX","78220-2115","52836"
"BVCAA Early Head Start Center","30.699087","-96.38801699999999","Brazos Valley Community Action Program
3141 Briarcrest Drive
Suite 501
Bryan, TX 77802-3055
(979)774-3496
","06CH010454","200","Early Head Start","Early Head Start","Brazos Valley Community Action Program","","3141 Briarcrest Drive Suite 501","Bryan","TX","77802-3055","(979) 846-5782","3400 N Texas Ave
Ste 7","Bryan","TX","77803-0728","86889"
"Copperas Cove Early Head Start","31.1228227","-97.8996762","Central Texas 4C, Inc.
504 N 5th St
Temple, TX 76501-3112
(254)778-0489 - 116
","06CH7189","200","Early Head Start","Early Head Start","Central Texas 4C, Inc.","","504 N 5th St ","Temple","TX","76501-3112","(254) 547-5270","306 E Avenue E","Copperas Cove","TX","76522-2221","51398"
"John E. Uxer I EHS","31.89190969980932","-106.42970874470518","Education Service Center Region 19
11670 Chito Samaniego
El Paso, TX 79936-6956
(915)790-4610
","06CH7147","200","Early Head Start","Early Head Start","Education Service Center Region 19","","11670 Chito Samaniego ","El Paso","TX","79936-6956","(915) 790-4715","9776C Kenworthy St","El Paso","TX","79924-6001","44697"
"PSJA EHS (Napper)","26.2052372971089","-98.1908113722137","The University of Texas - Rio Grande Valley
1201 W University Dr
Edcc 2.504
Edinburg, TX 78539-2909
(956)665-3891
","06HP0020","200","Early Head Start","Early Head Start","The University of Texas - Rio Grande Valley","","1201 W University Dr Edcc 2.504","Edinburg","TX","78539-2909","(956) 354-2270","903 N Flag St","Pharr","TX","78577-2912","81900"
"Early Head Start Jeanie Borlaug Laube","32.7856095","-96.76060769999998","HEADSTART OF GREATER DALLAS INC
3954 Gannon Lane
Dallas, TX 75237-2919
(972)283-6400
","06CH7106","200","Early Head Start","Early Head Start","HEADSTART OF GREATER DALLAS INC","","3954 Gannon Lane ","Dallas","TX","75237-2919","(972) 598-0360","938 South Carroll Ave","Dallas","TX","75223","54743"
"EHS CC at the Legacy","33.5834623","-101.85134529999999","South Plains Community Action Association, Inc. (SPCAA)
411 Austin St
Levelland, TX 79336-4733
(806)894-2207 - 8
","06HP0033","200","Early Head Start","Early Head Start","South Plains Community Action Association, Inc. (SPCAA)","","411 Austin St ","Levelland","TX","79336-4733","(806) 792-2723","1310 Avenue N","Lubbock","TX","79401-3923","54855"
"MET Early Head Start Humble","29.993098","-95.249706","Motivation Education & Training, Inc.
22551 Gene Campbell Blvd
New Caney, TX 77357-
(281)689-5544 - 223
","06CH10132","200","Early Head Start","Early Head Start","Motivation Education & Training, Inc.","","22551 Gene Campbell Blvd ","New Caney","TX","77357","(281) 812-2654","403 Wilson Rd","Humble","TX","77338-4913","57383"
