"name","latitude","longitude","grantee","grantNumber","delegateNo","centerType","programType","programDelegateName","programMainPhoneNumber","programAddress","programCity","programState","programZipCode","phone","address","city","state","zip","id"
"Bloomington Head Start","28.6452799","-96.88664649999998","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 897-1658","204 South  Leonard Avenue","Bloomington","TX","77951","30772"
"Creekstone Ranch Head Start","28.8615239","-96.99181959999999","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 576-9970","5609 John Stockbauer Dr","Victoria","TX","77904-1808","30773"
"Depot Head Start","28.7945881","-97.0014698","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 579-9943","401 S Depot St","Victoria","TX","77901-8360","30774"
"Edna Head Start","28.9785947","-96.64608770000001","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 781-0832","104 Shelby Park Road","Edna","TX","77957","30775"
"Gonzales I Head Start","29.5115503","-97.45024509999996","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(830) 672-2485","925 Wells St","Gonzales","TX","78629-3023","30776"
"Hallettsville Head Start","29.4415413","-96.93813260000002","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 798-9032","401 S Dowling St","Hallettsville","TX","77964-2909","30778"
"Nixon/Smiley Head Start","29.2734646","-97.6351937","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(830) 582-1536","500 North Anglin Rd","Smiley","TX","78159","30780"
"Placedo Head Start","28.69050349999999","-96.82488990000002","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 552-8123","167 North Williams","Placedo","TX","77977","30781"
"Port Lavaca Head Start","28.6071868","-96.63193160000003","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 552-8123","424 Seadrift St","Port Lavaca","TX","77979-4850","30782"
"Terrace Head Start","28.8207698","-96.98200969999999","TEXAS MIGRANT COUNCIL dba TMC
5215 McPherson Rd
Laredo, TX 78041-7326
(956)367-8999
","06CH7061","000","Head Start","Head Start","TEXAS MIGRANT COUNCIL dba TMC","","5215 McPherson Rd ","Laredo","TX","78041-7326","(361) 579-9911","2202 Terrace Ave","Victoria","TX","77901-4449","30784"
